joint,fusion_joint_name,type,source,original_parent,original_child,parent,child,auto_swapped,skip_from_urdf,skip_reason,diagnostic_only,parent_has_inertial,child_has_inertial,parent_reachable_from_base_link,child_reachable_from_base_link,axis,lower_limit,upper_limit,limit_source,issue
continuous_joint_11,回転 12,continuous,as_built,left_hip_roll_link_1,left_thigh_link_1,left_hip_roll_link_1,left_thigh_link_1,False,False,,False,False,False,False,False,-0.000528 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_12,回転 13,continuous,as_built,left_thigh_link_1,left_knee_front_upper_link_1,left_thigh_link_1,left_knee_front_upper_link_1,False,False,,False,False,False,False,False,0.000528 1.0 -0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_13,回転 14,continuous,as_built,left_thigh_link_1,left_knee_motor_link_1,left_thigh_link_1,left_knee_motor_link_1,False,False,,False,False,False,False,False,-0.000528 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_14,回転 15,continuous,as_built,left_knee_front_upper_link_1,left_knee_center_1,left_knee_front_upper_link_1,left_knee_center_1,False,False,,False,False,False,False,False,-0.000528 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_15,回転 16,continuous,as_built,left_knee_center_1,left_knee_lower_1,left_knee_center_1,left_knee_lower_1,False,False,,False,False,False,False,False,-0.000528 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_16,回転 17,continuous,as_built,left_knee_lower_1,left_shank_link_1,left_knee_lower_1,left_shank_link_1,False,False,,False,False,False,False,False,0.000528 1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_17,回転 18,continuous,as_built,left_knee_motor_link_1,left_knee_rear_link_1,left_knee_motor_link_1,left_knee_rear_link_1,False,False,,False,False,False,False,False,-0.000528 -1.0 -0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_18,回転 19,continuous,as_built,left_knee_rear_link_1,left_shank_link_1,left_knee_rear_link_1,left_shank_link_1,False,True,cycle_or_duplicate_parent,False,False,False,False,False,-0.000528 -1.0 0.0,0.0,0.0,fusion,cycle_or_duplicate_parent;parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_19,回転 20,continuous,as_built,left_shank_link_1,left_ankle_link_1,left_shank_link_1,left_ankle_link_1,False,False,,False,False,False,False,False,-0.000528 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_20,回転 22,continuous,as_built,left_ankle_link_1,left_foot_link_1,left_ankle_link_1,left_foot_link_1,False,False,,False,False,False,False,False,-1.0 0.000528 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_21,回転 24,continuous,as_built,base_link,right_hip_yaw_link_1,base_link,right_hip_yaw_link_1,False,False,,False,False,False,True,False,0.0 0.0 -1.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;child_not_reachable_from_base_link
continuous_joint_22,回転 25,continuous,as_built,right_hip_yaw_link_1,right_hip_roll_link_1,right_hip_yaw_link_1,right_hip_roll_link_1,False,False,,False,False,False,False,False,-1.0 -0.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_23,回転 26,continuous,as_built,right_hip_roll_link_1,right_thigh_link_1,right_hip_roll_link_1,right_thigh_link_1,False,False,,False,False,False,False,False,-0.0 1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_24,回転 27,continuous,as_built,right_thigh_link_1,right_knee_front_upper_link_1,right_thigh_link_1,right_knee_front_upper_link_1,False,False,,False,False,False,False,False,0.0 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_25,回転 28,continuous,as_built,right_knee_front_upper_link_1,right_knee_center_1,right_knee_front_upper_link_1,right_knee_center_1,False,False,,False,False,False,False,False,0.0 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_26,回転 29,continuous,as_built,right_knee_center_1,right_knee_lower_1,right_knee_center_1,right_knee_lower_1,False,False,,False,False,False,False,False,0.0 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_27,回転 30,continuous,as_built,right_knee_lower_1,right_shank_link_1,right_knee_lower_1,right_shank_link_1,False,False,,False,False,False,False,False,0.0 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_28,回転 31,continuous,as_built,right_shank_link_1,right_ankle_link_1,right_shank_link_1,right_ankle_link_1,False,False,,False,False,False,False,False,-0.0 1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_29,回転 32,continuous,as_built,right_ankle_link_1,right_foot_link_1,right_ankle_link_1,right_foot_link_1,False,False,,False,False,False,False,False,-1.0 -0.0 -0.00033,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_30,回転 33,continuous,as_built,right_thigh_link_1,right_knee_motor_link_1,right_thigh_link_1,right_knee_motor_link_1,False,False,,False,False,False,False,False,0.0 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_31,回転 34,continuous,as_built,right_knee_motor_link_1,right_knee_rear_link_1,right_knee_motor_link_1,right_knee_rear_link_1,False,False,,False,False,False,False,False,-0.0 1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
